Summary;Issue Type;Priority;Description
[DEV_IOS] Filter on Group & Soil Nmin on map doesn't show your own measurements;Bug;Medium;"*Tested on:* iOS 17.4.1; Model: Iphone SE; app version 5.2.1 (344) 

When filtering on a Group & Soil Nmin as sample type on map, your own measurements aren't shown.  

*Current* 
* Open map 
* Filter on  
** Parameter: Nitrate 
** Sample type: Soil Nmin 
** Privacy and Sharing: A group 
* *Your own Soil Nmin measurements part of that group aren't shown on the map. Other user's Soil Nmin measurements are shown.* 

*Expected* 
* *Your own* *and other users'* {*}Soil Nmin measurements part of that group are shown{*}{*}{*} 

_(Note: Filtering on Parameter: Nitrate; Sample type: Show all; Privacy and Sharing: A group - works)_"
[DEV_IOS] Edit username update;Story;Medium;"---------------------- 
Description: 
---------------------- 
To deter users from changing their username multiple times, we are moving this feature to the menu, along with log out and delete account. 

What screens are impacted:  
* Profile page: [https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/Final-Design?type=design&node-id=13209%3A69870&mode=dev&t=7bmWIGwJjp9Clsmu-1] 

--------------------------- 
AC/Scope 
--------------------------- 

—————————————— 
Keys/Strings/translations 
---------------------------- 
||Key||EN||NL||FR||DA|| 
| |Edit username|Gebruikersnaam bewerken|Modifier le nom d'utilisateur|Rediger brugernavn| 

---------------------------- 
Test Plan 
---------------------------- 
Tested on: Device, OS version, app version 
Server: Test/Prod 
Languages: EN, DK, FR, NL 
Logged in: Yes/No 
Pre-reqs: Set language to; user has not previously checked ""don't show this again” on the Tutorial Page, Have submitted measurements on home screen 
Test cases 
Screen:"
[DEV_IOS] Move ID share functionality to profile screen;Story;Medium;"---------------------- 
Description: 
---------------------- 

Testing has shown that it would be useful to also show your AqualityID on the Group page in profile, making it easier to share the ID verbally if you create a group. 

Because of this, we are allowing the user to share and view their ID from both the profile screen and the groups profile screen. 

What screens are impacted: * 
* Profile page: [https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/branch/Y8yzfhWUTMP95wpllUHNr9/Final-Design?type=design&node-id=13221%3A71225&mode=dev&t=dZdB5jfsnJy5Sj2V-1] 
* Groups profile (CONTENT CHANGE AND UI CHANGE): [https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/branch/Y8yzfhWUTMP95wpllUHNr9/Final-Design?type=design&node-id=13205%3A68768&mode=dev&t=dZdB5jfsnJy5Sj2V-1] 
* Groups info screen: [https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/branch/Y8yzfhWUTMP95wpllUHNr9/Final-Design?type=design&node-id=9225%3A43939&mode=dev&t=dZdB5jfsnJy5Sj2V-1] 

--------------------------- 
AC/Scope 
--------------------------- 

—————————————— 
Keys/Strings/translations 
---------------------------- 
||Key||EN||NL||FR||DA|| 
|profile_groups_empty_description|You’re not part of any groups yet. Share your Aquality ID to join a group or create your own group below.|Je maakt nog geen deel uit van een groep. Deel je Aquality ID om lid te worden van een groep of maak je eigen groep hieronder.|Vous ne faites partie d'aucun groupe pour le moment. Partagez votre identifiant Aquality pour rejoindre un groupe ou créez votre propre groupe ci-dessous.|Du er ikke en del af nogen grupper endnu. Del dit Aquality-ID for at blive medlem af en gruppe, eller opret din egen gruppe nedenfor.| 

  

---------------------------- 
Test Plan 
---------------------------- 
Tested on: Device, OS version, app version 
Server: Test/Prod 
Languages: EN, DK, FR, NL 
Logged in: Yes/No 
Pre-reqs: Set language to; user has not previously checked ""don't show this again” on the Tutorial Page, Have submitted measurements on home screen 
Test cases 
Screen:"
[DEV_IOS] can't dismiss keyboard when adding members;Bug;Medium;"When adding members to a group, you cannot dismiss the keyboard, which prevents users from seeing which members they have already added.  

Making it possible to dismiss the keyboard by clicking outside of the keyboard, or alternatively making the member list scrollable so it can reach above the keyboard would solve this issue."
[DEV_IOS] Add info screen to NO3/NO3-N switch on manual input screen;Story;Medium;"Description: 

On the manual input screen, the user has the option to switch between NO3 and NO3-N for nitrate, but there is no explanation on what it means for users who are not familiar with the difference. Therefore, we should add the info screen that we also use in the settings to explain the difference between NO3 and NO3-N. (See attached photos) 
* add the (i) icon to the pop-up where you select between NO3 and NO3-N 
* add the info screen that we also use in the settings 

  

See Figma: [https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/Final-Design?type=design&node-id=7245-39840&mode=design&t=v4Bcb4Yqhiel7OOx-4] "
[DEV_IOS] Update Privacy and Sharing filter on map;Story;Medium;"{color:#de350b}This is related to the new map filter to be implemented SADA-1176 and SADA-1179{color} 

---------------------- 
Description: 
---------------------- 

Now that users can filter on Groups on the map, we would like to make the different filters for Privacy and Sharing more clear. Currently, when a user filter on ""My private measurements"", both measurements that are private and shared with groups are shown. We would like to change this filter to ""Only my measurements"" which would then include all the user's measurements (public, private and group) - like the home screen when there's no filter applied.  

We need to make two changes:  
# Update ""My private measurements"" to ""Only my measurements"" 
# Make the users' public measurements visible too when selecting ""Only my measurements"" 

Overview of the new filter options: 
* All public measurements (from ALL users) 
* Only my measurements (my public, private and group measurements) 
* Group (measurements from all users in 1 selected group) 

  

What screens are impacted: * 
* Privacy and Sharing filter on the map 

--------------------------- 
AC/Scope 
--------------------------- 

—————————————— 
Keys/Strings/translations 
---------------------------- 
||Key||EN||NL||FR||DA|| 

---------------------------- 
Test Plan 
---------------------------- 
Tested on: Device, OS version, app version 
Server: Test/Prod 
Languages: EN, DK, FR, NL 
Logged in: Yes/No 
Pre-reqs: Set language to; user has not previously checked ""don't show this again” on the Tutorial Page, Have submitted measurements on home screen 
Test cases 
Screen:"
[DEV_IOS] Update FAQs for deleting and downloading measurements;Story;Medium;"---------------------- 
Description: 
---------------------- 
New text for FAQs to be updated to let the user know how they can delete and download their measurements, and group measurements for admins. 

3 questions in total: How can I download my measurements?  
Can I download group or organisation measurements?  
How can I delete my measurements? 

The text can be found on Figma: https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/Final-Design?type=design&node-id=12422%3A10267&mode=dev&t=EIAKZFsHBwQTB7gl-1 

What screens are impacted: * 
FAQs 

NOTE - updates to the Deltares dashboard (https://nitrate-app.deltares.nl/) are needed for the groups download to be functional. This work needs to be done before including the question, Can I download group or organisation measurements?  

--------------------------- 
AC/Scope 
--------------------------- 

—————————————— 
Keys/Strings/translations 
---------------------------- 

||Key||EN||NL||FR||DA|| 
|||||| 


---------------------------- 
Test Plan 
---------------------------- 
Tested on: Device, OS version, app version 
Server: Test/Prod 
Languages: EN, DK, FR, NL 
Logged in: Yes/No 
Pre-reqs: Set language to; user has not previously checked ""don't show this again” on the Tutorial Page, Have submitted measurements on home screen 
Test cases 
Screen:"
[DEV_iOS][DESIGN_TECH] Replace OpenGL ES;Feature;Medium;"The iOS app ({*}what about Android?{*}) is using OpenGL ES which is deprecated since iOS 12. Apple might stop support with a new version of iOS and there are better alternatives anyway (Vulkan, Metal) so we should move to one of those. 

Instead of replacing it outright, we could consider using a wrapper to Metal e.g. [https://moltengl.com/moltengl/] , [https://github.com/openglonmetal/MGL] or [https://github.com/kakashidinho/metalangle]  

Depending on the situation on Android and if we assume the OpenGL code is shared between the platforms we could consider migrating the code to Vulkan since there are more options on running this on multiple platforms."
[DEV_IOS] Update flow of group settings;Story;Medium;"---------------------- 
Description: 
---------------------- 

When managing group members after you've created the group previously, it takes MANY taps to go back to the home/profile/map screen where you're able to take a measurement.  

When editing various group details, we will change the flow when you press 'Done'.  

*What screens are impacted:*  
* Edit group name/description: [https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/Final-Design?type=design&node-id=10043%3A5261&mode=dev&t=FtfFYIUZfT2wu3Mp-1] 

** _Current:_ when the user presses 'done', they are directed back to the group settings page. 
** _*NEW:*_ when the user presses 'done' they should be directed back to group profile page ([https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/Final-Design?type=design&node-id=10043%3A5215&mode=dev&t=FtfFYIUZfT2wu3Mp-1]) 
* Manage members page: [https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/Final-Design?type=design&node-id=10043%3A5248&mode=dev&t=FtfFYIUZfT2wu3Mp-1] 

** {_}Current{_}: the user has to press the back button twice to go back to the group profile page (once to settings and once to group profile) 
** _*NEW:*_ We are adding a new 'Done' button in the top right corner. When this is pressed, the user should be taken directly back to the group profile page ([https://www.figma.com/file/cwHBJPrLZrdEtElxSckjR2/Final-Design?type=design&node-id=10043%3A5215&mode=dev&t=FtfFYIUZfT2wu3Mp-1]) 

--------------------------- 
AC/Scope 
--------------------------- 

—————————————— 
Keys/Strings/translations 
---------------------------- 
||Key||EN||NL||FR||DA|| 

---------------------------- 
Test Plan 
---------------------------- 
Tested on: Device, OS version, app version 
Server: Test/Prod 
Languages: EN, DK, FR, NL 
Logged in: Yes/No 
Pre-reqs: Set language to; user has not previously checked ""don't show this again” on the Tutorial Page, Have submitted measurements on home screen 
Test cases 
Screen:"
[DEV_IOS] Organisation screen is fullscreen instead of swipe down;Bug;Medium;Think about how this behaviour should work
